dol_vehicle_id,electric_utility
280103393,CITY OF TACOMA - (WA)
137126923,PUGET SOUND ENERGY INC
137126923,CITY OF TACOMA - (WA)
128816089,PUGET SOUND ENERGY INC
348359490,PUGET SOUND ENERGY INC
265774050,PUGET SOUND ENERGY INC
103390374,PUGET SOUND ENERGY INC
6406879,PUGET SOUND ENERGY INC
278683275,PUGET SOUND ENERGY INC
187119978,PUGET SOUND ENERGY INC
187119978,CITY OF TACOMA - (WA)
106727715,PUGET SOUND ENERGY INC
161355925,PUGET SOUND ENERGY INC
133119822,PUGET SOUND ENERGY INC
244620855,PUGET SOUND ENERGY INC
150330477,PUGET SOUND ENERGY INC
150330477,CITY OF TACOMA - (WA)
219586503,PUGET SOUND ENERGY INC
127271665,CITY OF SEATTLE - (WA)
127271665,CITY OF TACOMA - (WA)
257730574,PUGET SOUND ENERGY INC
255992950,PUGET SOUND ENERGY INC
1941502,CITY OF SEATTLE - (WA)
1941502,CITY OF TACOMA - (WA)
273747106,PUGET SOUND ENERGY INC
262480641,PUGET SOUND ENERGY INC
272616858,PACIFICORP
262982646,PUGET SOUND ENERGY INC
262982646,CITY OF TACOMA - (WA)
158195712,PUGET SOUND ENERGY INC
259009096,PUGET SOUND ENERGY INC
202407068,CITY OF SEATTLE - (WA)
202407068,CITY OF TACOMA - (WA)
246319314,PUGET SOUND ENERGY INC
246319314,CITY OF TACOMA - (WA)
348704002,MODERN ELECTRIC WATER COMPANY
271771790,PUGET SOUND ENERGY INC
176292056,PUGET SOUND ENERGY INC
258454556,PUGET SOUND ENERGY INC
301534215,PUGET SOUND ENERGY INC
214431171,PUGET SOUND ENERGY INC
272994844,PUGET SOUND ENERGY INC
274599188,PUGET SOUND ENERGY INC
221237712,PUGET SOUND ENERGY INC
270066044,PUGET SOUND ENERGY INC
202213987,PUGET SOUND ENERGY INC
259798220,PUGET SOUND ENERGY INC
259798220,CITY OF TACOMA - (WA)
107272392,PUGET SOUND ENERGY INC
107272392,CITY OF TACOMA - (WA)
269788662,PUGET SOUND ENERGY INC
230763249,PUGET SOUND ENERGY INC
159058350,CITY OF SEATTLE - (WA)
159058350,CITY OF TACOMA - (WA)
181085327,PUGET SOUND ENERGY INC
476167317,PUGET SOUND ENERGY INC
276419363,PUGET SOUND ENERGY INC
177558020,PUGET SOUND ENERGY INC
265328948,CITY OF SEATTLE - (WA)
265328948,CITY OF TACOMA - (WA)
350414382,PUGET SOUND ENERGY INC
219890254,PUGET SOUND ENERGY INC
227091000,CITY OF SEATTLE - (WA)
227091000,CITY OF TACOMA - (WA)
310989647,PUGET SOUND ENERGY INC
277978893,PUGET SOUND ENERGY INC
478429570,PACIFICORP
2179768,PUGET SOUND ENERGY INC
275514473,PUGET SOUND ENERGY INC
239666521,PUGET SOUND ENERGY INC
252308738,PUGET SOUND ENERGY INC
261234655,PUGET SOUND ENERGY INC
184994057,PUGET SOUND ENERGY INC
453939160,PUGET SOUND ENERGY INC
133041380,PUGET SOUND ENERGY INC
133041380,CITY OF TACOMA - (WA)
246683006,PUGET SOUND ENERGY INC
109347108,PUGET SOUND ENERGY INC
274604732,PUGET SOUND ENERGY INC
276946078,PUGET SOUND ENERGY INC
196806361,PUGET SOUND ENERGY INC
128577011,PUGET SOUND ENERGY INC
107026377,PUGET SOUND ENERGY INC
107026377,CITY OF TACOMA - (WA)
180652328,PUGET SOUND ENERGY INC
180652328,CITY OF TACOMA - (WA)
237827138,PACIFICORP
263027264,PUGET SOUND ENERGY INC
263027264,CITY OF TACOMA - (WA)
271756775,PUGET SOUND ENERGY INC
271756775,CITY OF TACOMA - (WA)
263375976,PUGET SOUND ENERGY INC
195234819,PUGET SOUND ENERGY INC
7960809,PUGET SOUND ENERGY INC
273368532,PUGET SOUND ENERGY INC
475007977,PUGET SOUND ENERGY INC
179170078,PUGET SOUND ENERGY INC
226152,CITY OF SEATTLE - (WA)
226152,CITY OF TACOMA - (WA)
348429084,CITY OF SEATTLE - (WA)
348429084,CITY OF TACOMA - (WA)
260720386,PUGET SOUND ENERGY INC
249980538,PUGET SOUND ENERGY INC
6743691,BONNEVILLE POWER ADMINISTRATION
6743691,PUD NO 1 OF CLARK COUNTY - (WA)
198488951,PUGET SOUND ENERGY INC
153892070,PUGET SOUND ENERGY INC
451287574,PUGET SOUND ENERGY INC
229801694,PUGET SOUND ENERGY INC
234305956,PACIFICORP
272643619,PUGET SOUND ENERGY INC
272643619,CITY OF TACOMA - (WA)
275859972,PUGET SOUND ENERGY INC
113001535,PUD NO 1 OF DOUGLAS COUNTY
256323126,AVISTA CORP
150413525,PUGET SOUND ENERGY INC
229720256,PUGET SOUND ENERGY INC
474767226,PUGET SOUND ENERGY INC
474767226,CITY OF TACOMA - (WA)
274961543,PUGET SOUND ENERGY INC
181865064,PUGET SOUND ENERGY INC
181865064,CITY OF TACOMA - (WA)
477937645,PUGET SOUND ENERGY INC
152594438,CITY OF SEATTLE - (WA)
152594438,CITY OF TACOMA - (WA)
228505259,PUGET SOUND ENERGY INC
3033012,PUGET SOUND ENERGY INC
276368508,PUGET SOUND ENERGY INC
161806830,PUGET SOUND ENERGY INC
202885203,CITY OF SEATTLE - (WA)
202885203,CITY OF TACOMA - (WA)
195067246,CITY OF SEATTLE - (WA)
195067246,CITY OF TACOMA - (WA)
266701151,PUGET SOUND ENERGY INC
242934611,PUGET SOUND ENERGY INC
242934611,CITY OF TACOMA - (WA)
272706689,PUGET SOUND ENERGY INC
241358904,PUGET SOUND ENERGY INC
241358904,CITY OF TACOMA - (WA)
200752261,PUGET SOUND ENERGY INC
259715137,CITY OF SEATTLE - (WA)
259715137,CITY OF TACOMA - (WA)
257988363,PUGET SOUND ENERGY INC
269497000,PACIFICORP
260418399,PUGET SOUND ENERGY INC
260418399,CITY OF TACOMA - (WA)
265978058,PUGET SOUND ENERGY INC
261787928,PUGET SOUND ENERGY INC
261563732,PUGET SOUND ENERGY INC
230164273,CITY OF SEATTLE - (WA)
230164273,CITY OF TACOMA - (WA)
193041677,CITY OF SEATTLE - (WA)
193041677,CITY OF TACOMA - (WA)
123266006,PUGET SOUND ENERGY INC
270202026,PUGET SOUND ENERGY INC
476652655,PUGET SOUND ENERGY INC
476652655,CITY OF TACOMA - (WA)
183711888,PUGET SOUND ENERGY INC
183711888,CITY OF TACOMA - (WA)
263256787,PUGET SOUND ENERGY INC
299073967,PUGET SOUND ENERGY INC
299073967,CITY OF TACOMA - (WA)
100662586,PUGET SOUND ENERGY INC
272303286,PUGET SOUND ENERGY INC
272303286,CITY OF TACOMA - (WA)
110852668,CITY OF SEATTLE - (WA)
110852668,CITY OF TACOMA - (WA)
267780999,PUGET SOUND ENERGY INC
267780999,CITY OF TACOMA - (WA)
1593721,PACIFICORP
207249878,PUGET SOUND ENERGY INC
182675559,PUGET SOUND ENERGY INC
182675559,CITY OF TACOMA - (WA)
6129392,PUGET SOUND ENERGY INC
6129392,CITY OF TACOMA - (WA)
113378968,PUGET SOUND ENERGY INC
102359449,PUGET SOUND ENERGY INC
102359449,CITY OF TACOMA - (WA)
166448131,PUGET SOUND ENERGY INC
144531264,CITY OF SEATTLE - (WA)
144531264,CITY OF TACOMA - (WA)
276187159,PACIFICORP
268718775,PUGET SOUND ENERGY INC
209653118,CITY OF SEATTLE - (WA)
209653118,CITY OF TACOMA - (WA)
140874849,CITY OF SEATTLE - (WA)
140874849,CITY OF TACOMA - (WA)
121257475,PUGET SOUND ENERGY INC
121257475,CITY OF TACOMA - (WA)
269757799,PUGET SOUND ENERGY INC
264969750,PUGET SOUND ENERGY INC
144850443,PUGET SOUND ENERGY INC
144850443,CITY OF TACOMA - (WA)
348344363,PUGET SOUND ENERGY INC
270046738,PUGET SOUND ENERGY INC
128479536,CITY OF SEATTLE - (WA)
128479536,CITY OF TACOMA - (WA)
220047684,PACIFICORP
240226332,PUGET SOUND ENERGY INC
240226332,CITY OF TACOMA - (WA)
194608459,PUGET SOUND ENERGY INC
194608459,CITY OF TACOMA - (WA)
153904446,PUGET SOUND ENERGY INC
248458612,CITY OF SEATTLE - (WA)
248458612,CITY OF TACOMA - (WA)
187787358,PUGET SOUND ENERGY INC
187787358,CITY OF TACOMA - (WA)
278352854,PUGET SOUND ENERGY INC
2254542,PUGET SOUND ENERGY INC
152065077,PUGET SOUND ENERGY INC
152065077,CITY OF TACOMA - (WA)
255379505,CITY OF SEATTLE - (WA)
255379505,CITY OF TACOMA - (WA)
131357390,PUGET SOUND ENERGY INC
275051206,PUGET SOUND ENERGY INC
184902329,PUGET SOUND ENERGY INC
169333202,PUGET SOUND ENERGY INC
275514641,PUGET SOUND ENERGY INC
137584100,PACIFICORP
154748471,CITY OF SEATTLE - (WA)
154748471,CITY OF TACOMA - (WA)
126008683,PUGET SOUND ENERGY INC
126008683,CITY OF TACOMA - (WA)
142479676,PUGET SOUND ENERGY INC
252477326,PUGET SOUND ENERGY INC
211212802,PUGET SOUND ENERGY INC
107241774,PUGET SOUND ENERGY INC
233158572,PUGET SOUND ENERGY INC
269208369,CITY OF SEATTLE - (WA)
269208369,CITY OF TACOMA - (WA)
102849792,PUGET SOUND ENERGY INC
141725258,PUGET SOUND ENERGY INC
111534069,CITY OF SEATTLE - (WA)
111534069,CITY OF TACOMA - (WA)
108233912,PUGET SOUND ENERGY INC
295645836,CITY OF SEATTLE - (WA)
295645836,CITY OF TACOMA - (WA)
194860704,PUGET SOUND ENERGY INC
473915578,PUGET SOUND ENERGY INC
473915578,CITY OF TACOMA - (WA)
121682354,CITY OF SEATTLE - (WA)
121682354,CITY OF TACOMA - (WA)
158682562,PUGET SOUND ENERGY INC
158682562,CITY OF TACOMA - (WA)
269905513,PUGET SOUND ENERGY INC
251783213,PACIFICORP
264931726,PACIFICORP
250393503,CITY OF SEATTLE - (WA)
250393503,CITY OF TACOMA - (WA)
180591974,CITY OF SEATTLE - (WA)
180591974,CITY OF TACOMA - (WA)
475884916,PUGET SOUND ENERGY INC
475884916,CITY OF TACOMA - (WA)
157373506,CITY OF SEATTLE - (WA)
157373506,CITY OF TACOMA - (WA)
227450170,PUGET SOUND ENERGY INC
478472879,PUGET SOUND ENERGY INC
273523736,PUGET SOUND ENERGY INC
179448398,CITY OF SEATTLE - (WA)
179448398,CITY OF TACOMA - (WA)
269192836,CITY OF SEATTLE - (WA)
269192836,CITY OF TACOMA - (WA)
260785059,PUGET SOUND ENERGY INC
136998011,CITY OF SEATTLE - (WA)
136998011,CITY OF TACOMA - (WA)
194426431,PUGET SOUND ENERGY INC
218567268,CITY OF SEATTLE - (WA)
218567268,CITY OF TACOMA - (WA)
141063009,CITY OF SEATTLE - (WA)
141063009,CITY OF TACOMA - (WA)
269957243,PUGET SOUND ENERGY INC
251260887,CITY OF SEATTLE - (WA)
251260887,CITY OF TACOMA - (WA)
279915751,CITY OF SEATTLE - (WA)
279915751,CITY OF TACOMA - (WA)
279222086,CITY OF SEATTLE - (WA)
279222086,CITY OF TACOMA - (WA)
280212635,CITY OF SEATTLE - (WA)
280212635,CITY OF TACOMA - (WA)
278444757,PUGET SOUND ENERGY INC
278444757,CITY OF TACOMA - (WA)
269927017,PUGET SOUND ENERGY INC
123375780,PUGET SOUND ENERGY INC
256430198,PUGET SOUND ENERGY INC
249766289,PUGET SOUND ENERGY INC
249766289,CITY OF TACOMA - (WA)
221441426,PUGET SOUND ENERGY INC
246023634,PUGET SOUND ENERGY INC
101474355,CITY OF SEATTLE - (WA)
101474355,CITY OF TACOMA - (WA)
143253512,PUGET SOUND ENERGY INC
218972519,PACIFICORP
205873762,PUGET SOUND ENERGY INC
208045820,PUGET SOUND ENERGY INC
208045820,CITY OF TACOMA - (WA)
177571971,PUGET SOUND ENERGY INC
279885609,PUGET SOUND ENERGY INC
269820771,PUGET SOUND ENERGY INC
237815497,CITY OF SEATTLE - (WA)
237815497,CITY OF TACOMA - (WA)
478562815,PUGET SOUND ENERGY INC
113128991,PUGET SOUND ENERGY INC
303599243,PUGET SOUND ENERGY INC
303599243,CITY OF TACOMA - (WA)
265495863,CITY OF SEATTLE - (WA)
265495863,CITY OF TACOMA - (WA)
474035964,CITY OF SEATTLE - (WA)
474035964,CITY OF TACOMA - (WA)
474894892,PUGET SOUND ENERGY INC
273517688,CITY OF SEATTLE - (WA)
273517688,CITY OF TACOMA - (WA)
252032308,PACIFICORP
125813579,PUGET SOUND ENERGY INC
125813579,CITY OF TACOMA - (WA)
278114539,PACIFICORP
224763570,PACIFICORP
299769305,PUGET SOUND ENERGY INC
299769305,CITY OF TACOMA - (WA)
266609941,PACIFICORP
303962662,PUGET SOUND ENERGY INC
303962662,CITY OF TACOMA - (WA)
